,NAME_FAMILY_STATUS,NAME_EDUCATION_TYPE,OCCUPATION_TYPE,NAME_CONTRACT_TYPE,CODE_GENDER,DAYS_BIRTH,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,ANNUITY_INCOME_PERC,AMT_CREDIT,AMT_ANNUITY,INCOME_CREDIT_PERC
17,Married,Secondary / secondary special,Laborers,Revolving loans,1,26,0,81000.0,0.1666,270000.0,13500.0,0.3
18,Widow,Secondary / secondary special,Laborers,Revolving loans,1,48,0,112500.0,0.07,157500.0,7875.0,0.7144
19,Single / not married,Higher education,Core staff,Cash loans,1,31,0,90000.0,0.1952,544491.0,17563.5,0.1653
20,Married,Secondary / secondary special,Laborers,Revolving loans,0,50,0,135000.0,0.1583,427500.0,21375.0,0.3157
21,Married,Secondary / secondary special,Sales staff,Cash loans,1,40,0,202500.0,0.1855,1132573.5,37561.5,0.1788
22,Married,Secondary / secondary special,Sales staff,Cash loans,1,30,1,450000.0,0.07227,497520.0,32521.5,0.9043
23,Married,Secondary / secondary special,n.a.,Cash loans,1,68,0,83250.0,0.2864,239850.0,23850.0,0.3472
24,Married,Secondary / secondary special,Drivers,Cash loans,0,30,1,135000.0,0.0941,247500.0,12703.5,0.5454
25,Married,Secondary / secondary special,Cleaning staff,Cash loans,1,52,0,90000.0,0.12305,225000.0,11074.5,0.4
26,Widow,Secondary / secondary special,Cooking staff,Cash loans,1,51,0,112500.0,0.2407,979992.0,27076.5,0.1148
27,Married,Secondary / secondary special,Laborers,Cash loans,0,43,0,112500.0,0.2118,327024.0,23827.5,0.344
28,Single / not married,Higher education,n.a.,Cash loans,0,27,0,270000.0,0.2136,790830.0,57676.5,0.3413
29,Single / not married,Higher education,Laborers,Revolving loans,0,28,0,90000.0,0.1,180000.0,9000.0,0.5
30,Civil marriage,Secondary / secondary special,n.a.,Cash loans,1,41,0,292500.0,0.0841,665892.0,24592.5,0.4392
31,Civil marriage,Secondary / secondary special,Private service staff,Cash loans,1,30,0,112500.0,0.2225,512064.0,25033.5,0.2197
32,Civil marriage,Secondary / secondary special,Laborers,Cash loans,1,35,1,90000.0,0.2322,199008.0,20893.5,0.4521
33,Married,Secondary / secondary special,Drivers,Cash loans,0,32,1,360000.0,0.1085,733315.5,39069.0,0.491
34,Married,Higher education,Core staff,Cash loans,1,43,0,135000.0,0.2437,1125000.0,32895.0,0.12
35,Married,Higher education,Sales staff,Cash loans,1,33,1,112500.0,0.3958,450000.0,44509.5,0.25
36,Married,Secondary / secondary special,Private service staff,Cash loans,1,47,0,198000.0,0.11694,641173.5,23157.0,0.3088
37,Married,Secondary / secondary special,Drivers,Cash loans,0,57,0,121500.0,0.1247,454500.0,15151.5,0.2673
38,Married,Secondary / secondary special,n.a.,Cash loans,1,65,0,99000.0,0.1752,247275.0,17338.5,0.4004
39,Married,Higher education,Managers,Revolving loans,0,44,0,180000.0,0.15,540000.0,27000.0,0.3333
40,Married,Secondary / secondary special,Laborers,Cash loans,0,47,0,202500.0,0.173,1193580.0,35028.0,0.1697
41,Married,Secondary / secondary special,Laborers,Cash loans,1,46,0,202500.0,0.1442,604152.0,29196.0,0.3352
42,Civil marriage,Secondary / secondary special,Sales staff,Cash loans,1,36,1,135000.0,0.1204,288873.0,16258.5,0.4673
43,Single / not married,Higher education,n.a.,Cash loans,1,64,0,108000.0,0.398,746280.0,42970.5,0.1448
44,Civil marriage,Secondary / secondary special,n.a.,Cash loans,0,26,0,202500.0,0.2384,661702.5,48280.5,0.306
45,Civil marriage,Secondary / secondary special,Sales staff,Revolving loans,1,21,0,90000.0,0.1,180000.0,9000.0,0.5
46,Single / not married,Secondary / secondary special,n.a.,Cash loans,1,55,0,202500.0,0.08716,305221.5,17649.0,0.6636
47,Married,Secondary / secondary special,Medicine staff,Cash loans,1,55,0,99000.0,0.271,260640.0,26838.0,0.38
48,Married,Secondary / secondary special,Managers,Cash loans,1,54,1,130500.0,0.2854,1350000.0,37255.5,0.0967
49,Married,Secondary / secondary special,Laborers,Cash loans,0,50,0,360000.0,0.1387,1506816.0,49927.5,0.2389
50,Married,Higher education,Core staff,Revolving loans,1,33,0,54000.0,0.125,135000.0,6750.0,0.4
51,Married,Higher education,Managers,Cash loans,0,51,0,540000.0,0.0641,675000.0,34596.0,0.8
52,Married,Secondary / secondary special,n.a.,Cash loans,0,33,1,76500.0,0.1917,454500.0,14661.0,0.1683
53,Married,Higher education,Core staff,Cash loans,1,28,0,225000.0,0.07184,314055.0,16164.0,0.7163
54,Married,Secondary / secondary special,n.a.,Cash loans,0,50,1,81000.0,0.401,675000.0,32472.0,0.12
55,Married,Higher education,Managers,Cash loans,1,35,0,180000.0,0.2532,837427.5,45558.0,0.215
56,Single / not married,Secondary / secondary special,n.a.,Cash loans,1,59,1,67500.0,0.2279,298728.0,15381.0,0.226
57,Married,Secondary / secondary special,Security staff,Revolving loans,0,49,0,81000.0,0.1528,247500.0,12375.0,0.3274
58,Separated,Secondary / secondary special,Laborers,Cash loans,0,38,0,360000.0,0.07574,640458.0,27265.5,0.562
59,Widow,Higher education,Managers,Cash loans,0,56,0,540000.0,0.08685,1227901.5,46899.0,0.4397
60,Married,Secondary / secondary special,Accountants,Cash loans,1,55,0,180000.0,0.4832,1663987.5,86989.5,0.10815
61,Single / not married,Incomplete higher,Sales staff,Cash loans,0,21,1,180000.0,0.2451,1080000.0,44118.0,0.1666
62,Civil marriage,Higher education,n.a.,Cash loans,0,62,0,324000.0,0.124,1130760.0,40189.5,0.2866
63,Single / not married,Higher education,n.a.,Cash loans,1,33,1,112500.0,0.093,95940.0,10462.5,1.173
64,Married,Secondary / secondary special,Drivers,Cash loans,0,37,1,180000.0,0.05377,315000.0,9679.5,0.5713
65,Single / not married,Secondary / secondary special,Core staff,Cash loans,0,33,0,180000.0,0.2258,1256400.0,40657.5,0.1433
66,Married,Higher education,Core staff,Cash loans,1,53,0,180000.0,0.2444,1035000.0,43983.0,0.174
67,Separated,Secondary / secondary special,Laborers,Revolving loans,0,42,0,225000.0,0.06,270000.0,13500.0,0.8335
68,Civil marriage,Secondary / secondary special,Sales staff,Revolving loans,1,32,1,157500.0,0.1428,450000.0,22500.0,0.35
69,Civil marriage,Secondary / secondary special,Laborers,Cash loans,0,29,1,180000.0,0.11725,450000.0,21109.5,0.4
70,Married,Higher education,Laborers,Cash loans,0,32,1,180000.0,0.11725,450000.0,21109.5,0.4
71,Married,Secondary / secondary special,Laborers,Cash loans,0,42,0,103500.0,0.2361,573628.5,24435.0,0.1804
72,Separated,Secondary / secondary special,Laborers,Cash loans,0,40,0,225000.0,0.11615,495351.0,26140.5,0.454
73,Married,Secondary / secondary special,Drivers,Cash loans,0,30,0,157500.0,0.1835,755190.0,28894.5,0.2085
74,Widow,Higher education,Laborers,Cash loans,1,39,0,135000.0,0.1613,675000.0,21775.5,0.2
75,Married,Secondary / secondary special,Cooking staff,Cash loans,1,48,0,202500.0,0.1866,1288350.0,37800.0,0.1572
76,Married,Higher education,n.a.,Revolving loans,1,53,1,112500.0,0.06,135000.0,6750.0,0.8335
77,Civil marriage,Secondary / secondary special,Laborers,Cash loans,0,26,0,135000.0,0.1169,337761.0,15781.5,0.3997
78,Married,Secondary / secondary special,Core staff,Cash loans,1,50,0,94500.0,0.299,585000.0,28273.5,0.1615
79,Single / not married,Higher education,n.a.,Cash loans,1,62,0,108000.0,0.04907,113760.0,5301.0,0.949
80,Married,Secondary / secondary special,Sales staff,Revolving loans,1,51,0,67500.0,0.1,135000.0,6750.0,0.5
81,Married,Secondary / secondary special,n.a.,Cash loans,1,67,0,81000.0,0.1802,252000.0,14593.5,0.3215
82,Married,Secondary / secondary special,n.a.,Cash loans,0,48,0,157500.0,0.1923,760225.5,30280.5,0.2072
83,Civil marriage,Secondary / secondary special,Drivers,Revolving loans,0,47,1,225000.0,0.06,270000.0,13500.0,0.8335
84,Separated,Secondary / secondary special,n.a.,Cash loans,1,63,0,360000.0,0.1141,733315.5,41076.0,0.491
85,Married,Higher education,Managers,Cash loans,0,43,0,202500.0,0.1898,796396.5,38443.5,0.2542
86,Single / not married,Higher education,High skill tech staff,Cash loans,1,49,0,202500.0,0.109,343377.0,22072.5,0.59
87,Single / not married,Secondary / secondary special,Laborers,Cash loans,1,39,1,126000.0,0.0815,327024.0,10264.5,0.3853
88,Married,Secondary / secondary special,n.a.,Cash loans,1,57,0,72000.0,0.2356,450000.0,16965.0,0.16
89,Married,Secondary / secondary special,Waiters/barmen staff,Cash loans,1,50,0,90000.0,0.341,547344.0,30690.0,0.1644
90,Married,Secondary / secondary special,Managers,Cash loans,1,54,0,193500.0,0.12274,225000.0,23755.5,0.86
91,Married,Secondary / secondary special,Sales staff,Cash loans,1,35,0,171000.0,0.183,545040.0,31288.5,0.3137
92,Married,Secondary / secondary special,Laborers,Cash loans,0,29,0,135000.0,0.1857,373140.0,25065.0,0.3618
93,Married,Secondary / secondary special,Sales staff,Cash loans,1,28,1,112500.0,0.2485,862560.0,27954.0,0.1304
94,Single / not married,Incomplete higher,n.a.,Cash loans,0,27,0,315000.0,0.2035,953460.0,64107.0,0.3303
95,Single / not married,Secondary / secondary special,Low-skill Laborers,Cash loans,0,41,1,76500.0,0.0875,135000.0,6696.0,0.567
96,Single / not married,Higher education,Laborers,Cash loans,1,29,0,135000.0,0.1674,284400.0,22599.0,0.4746
97,Married,Secondary / secondary special,n.a.,Cash loans,1,42,1,90000.0,0.1632,315000.0,14683.5,0.2856
98,Married,Higher education,Core staff,Cash loans,1,40,0,243000.0,0.1317,900000.0,32017.5,0.27
99,Widow,Secondary / secondary special,n.a.,Cash loans,1,61,0,90000.0,0.295,675000.0,26541.0,0.1333
100,Married,Secondary / secondary special,Medicine staff,Revolving loans,1,30,0,54000.0,0.1666,180000.0,9000.0,0.3
101,Married,Higher education,Core staff,Cash loans,1,26,1,135000.0,0.209,781920.0,28215.0,0.1726
102,Married,Secondary / secondary special,Low-skill Laborers,Cash loans,0,46,0,126000.0,0.2075,787131.0,26145.0,0.16
103,Married,Higher education,Core staff,Cash loans,1,30,1,76500.0,0.3428,808650.0,26217.0,0.0946
104,Widow,Secondary / secondary special,Security staff,Cash loans,1,64,1,103500.0,0.1907,675000.0,19737.0,0.1533
105,Widow,Secondary / secondary special,n.a.,Cash loans,0,65,0,225000.0,0.1273,448272.0,28647.0,0.502
106,Married,Secondary / secondary special,n.a.,Cash loans,1,59,1,126000.0,0.208,263686.5,26208.0,0.4778
107,Married,Secondary / secondary special,n.a.,Revolving loans,0,35,0,135000.0,0.06665,180000.0,9000.0,0.75
108,Married,Secondary / secondary special,n.a.,Cash loans,0,58,0,112500.0,0.0475,52128.0,5341.5,2.158
109,Married,Higher education,n.a.,Revolving loans,1,25,0,85500.0,0.0789,135000.0,6750.0,0.6333
110,Separated,Incomplete higher,Sales staff,Cash loans,1,28,0,157500.0,0.1956,723996.0,30802.5,0.2175
111,Single / not married,Secondary / secondary special,Realty agents,Cash loans,1,37,0,270000.0,0.169,891072.0,45625.5,0.303
112,Widow,Secondary / secondary special,Cleaning staff,Cash loans,1,64,0,202500.0,0.3635,1136439.0,73611.0,0.1782
113,Civil marriage,Secondary / secondary special,Core staff,Cash loans,1,25,1,67500.0,0.2786,384048.0,18810.0,0.1758
114,Married,Secondary / secondary special,Secretaries,Revolving loans,1,27,1,202500.0,0.04443,180000.0,9000.0,1.125
115,Married,Secondary / secondary special,Laborers,Cash loans,0,54,0,135000.0,0.1946,391194.0,26271.0,0.3452
116,Married,Secondary / secondary special,Laborers,Cash loans,0,43,1,157500.0,0.3135,1571931.0,49356.0,0.1002
117,Married,Secondary / secondary special,n.a.,Cash loans,1,55,0,225000.0,0.2028,891072.0,45625.5,0.2524
118,Married,Higher education,n.a.,Cash loans,0,39,1,135000.0,0.2164,824823.0,29223.0,0.1637
119,Married,Secondary / secondary special,n.a.,Cash loans,1,36,1,157500.0,0.1525,302341.5,24016.5,0.521
120,Married,Higher education,High skill tech staff,Revolving loans,1,25,1,157500.0,0.2142,675000.0,33750.0,0.2333
121,Civil marriage,Higher education,High skill tech staff,Cash loans,0,36,0,360000.0,0.07776,579195.0,27994.5,0.6216
122,Married,Higher education,Core staff,Revolving loans,0,62,0,162000.0,0.0833,270000.0,13500.0,0.6
123,Separated,Secondary / secondary special,Sales staff,Cash loans,1,45,1,112500.0,0.2668,535500.0,30028.5,0.2101
124,Separated,Secondary / secondary special,Laborers,Cash loans,1,44,0,202500.0,0.0829,260725.5,16789.5,0.777
125,Married,Secondary / secondary special,n.a.,Cash loans,0,62,0,117000.0,0.10645,327024.0,12456.0,0.3577
126,Married,Secondary / secondary special,Laborers,Cash loans,1,44,0,135000.0,0.1637,518562.0,22099.5,0.2603
127,Married,Secondary / secondary special,Medicine staff,Cash loans,1,44,0,247500.0,0.1473,755190.0,36459.0,0.3276
128,Married,Secondary / secondary special,Low-skill Laborers,Cash loans,0,25,1,171000.0,0.1543,539590.5,26374.5,0.317
129,Single / not married,Higher education,Accountants,Cash loans,0,45,1,135000.0,0.0872,182016.0,11772.0,0.7417
130,Married,Secondary / secondary special,Sales staff,Cash loans,1,44,0,157500.0,0.0617,254412.0,9720.0,0.619
131,Married,Secondary / secondary special,Drivers,Cash loans,0,50,0,202500.0,0.1606,1107981.0,32526.0,0.1827
132,Married,Secondary / secondary special,Drivers,Revolving loans,0,33,1,144000.0,0.0625,180000.0,9000.0,0.8
133,Married,Secondary / secondary special,Laborers,Cash loans,0,32,1,157500.0,0.139,675000.0,21906.0,0.2333
134,Married,Secondary / secondary special,Medicine staff,Cash loans,1,39,1,157500.0,0.2484,945000.0,39127.5,0.1666
135,Married,Secondary / secondary special,n.a.,Cash loans,0,44,0,180000.0,0.3396,1755000.0,61132.5,0.10254
136,Married,Incomplete higher,Core staff,Cash loans,0,33,1,180000.0,0.1527,590337.0,27486.0,0.305
137,Married,Secondary / secondary special,Sales staff,Cash loans,1,40,0,225000.0,0.1858,1515415.5,41800.5,0.1484
138,Married,Higher education,Managers,Cash loans,0,45,0,292500.0,0.1256,675000.0,36747.0,0.4333
139,Married,Secondary / secondary special,Sales staff,Cash loans,1,44,0,90000.0,0.1553,370629.0,13972.5,0.2428
140,Single / not married,Secondary / secondary special,n.a.,Cash loans,1,57,0,112500.0,0.1619,547344.0,18216.0,0.2056
141,Separated,Higher education,n.a.,Cash loans,1,54,0,130500.0,0.1515,550489.5,19773.0,0.237
142,Civil marriage,Higher education,Core staff,Cash loans,1,44,1,450000.0,0.0964,407434.5,43362.0,1.1045
143,Married,Secondary / secondary special,n.a.,Cash loans,1,60,0,175500.0,0.2026,1293502.5,35568.0,0.1356
144,Married,Secondary / secondary special,Core staff,Cash loans,1,39,0,58500.0,0.2605,152820.0,15241.5,0.3828
145,Civil marriage,Secondary / secondary special,n.a.,Cash loans,1,41,0,180000.0,0.2566,427500.0,46170.0,0.4211
146,Single / not married,Higher education,Core staff,Cash loans,1,31,1,117000.0,0.2284,781920.0,26725.5,0.1497
147,Married,Incomplete higher,Sales staff,Revolving loans,1,39,0,180000.0,0.0625,225000.0,11250.0,0.8
148,Civil marriage,Secondary / secondary special,n.a.,Cash loans,1,44,0,202500.0,0.2225,1251072.0,45067.5,0.1619
149,Married,Secondary / secondary special,Laborers,Cash loans,1,48,0,135000.0,0.2345,1078200.0,31653.0,0.1252
150,Civil marriage,Secondary / secondary special,n.a.,Cash loans,0,39,1,112500.0,0.2961,312682.5,33309.0,0.3599
151,Separated,Higher education,n.a.,Cash loans,1,52,0,119250.0,0.2424,679500.0,28917.0,0.1755
152,Married,Higher education,Managers,Cash loans,1,31,1,202500.0,0.2634,675000.0,53329.5,0.3
153,Married,Higher education,Accountants,Cash loans,1,42,0,315000.0,0.12,1288350.0,37800.0,0.2445
154,Single / not married,Secondary / secondary special,Private service staff,Cash loans,1,48,0,157500.0,0.08044,245619.0,12667.5,0.641
155,Separated,Secondary / secondary special,Core staff,Revolving loans,1,37,0,112500.0,0.06,135000.0,6750.0,0.8335
156,Separated,Secondary / secondary special,n.a.,Cash loans,1,67,0,103500.0,0.227,239850.0,23494.5,0.4316
157,Married,Secondary / secondary special,n.a.,Cash loans,0,55,0,58500.0,0.1864,187704.0,10903.5,0.3118
158,Single / not married,Secondary / secondary special,n.a.,Cash loans,1,59,0,117000.0,0.11194,269550.0,13095.0,0.434
159,Married,Higher education,Core staff,Cash loans,1,41,1,225000.0,0.2502,1325475.0,56290.5,0.1698
160,Separated,Incomplete higher,Sales staff,Cash loans,1,46,0,135000.0,0.107,263844.0,14440.5,0.5117
161,Married,Higher education,Laborers,Cash loans,0,38,1,162000.0,0.153,263686.5,24781.5,0.6143
162,Separated,Higher education,High skill tech staff,Cash loans,1,59,0,112500.0,0.1561,544491.0,17563.5,0.2067
163,Single / not married,Secondary / secondary special,Core staff,Cash loans,1,21,1,111915.0,0.188,225000.0,21037.5,0.4973
164,Separated,Secondary / secondary special,n.a.,Cash loans,1,48,1,225000.0,0.0672,296280.0,15124.5,0.7593
165,Civil marriage,Higher education,Laborers,Revolving loans,1,35,0,157500.0,0.1,315000.0,15750.0,0.5
166,Single / not married,Higher education,n.a.,Cash loans,0,29,0,90000.0,0.1041,336150.0,9373.5,0.2678
167,Married,Higher education,Secretaries,Cash loans,1,31,0,164250.0,0.1956,755190.0,32125.5,0.2175
168,Married,Secondary / secondary special,Sales staff,Cash loans,1,32,1,157500.0,0.1821,497520.0,28692.0,0.3167
169,Married,Secondary / secondary special,Drivers,Cash loans,0,35,0,135000.0,0.2416,531000.0,32616.0,0.2542
170,Married,Secondary / secondary special,Cleaning staff,Cash loans,1,57,0,112500.0,0.168,269550.0,18891.0,0.4175
171,Widow,Secondary / secondary special,n.a.,Cash loans,1,46,1,216000.0,0.1259,450000.0,27193.5,0.48
172,Single / not married,Higher education,Core staff,Cash loans,1,33,0,180000.0,0.2041,675000.0,36747.0,0.2666
173,Single / not married,Secondary / secondary special,n.a.,Cash loans,1,62,1,67500.0,0.0977,127350.0,6597.0,0.5303
174,Widow,Secondary / secondary special,n.a.,Cash loans,1,68,1,54000.0,0.2054,119925.0,11097.0,0.4502
175,Married,Secondary / secondary special,n.a.,Cash loans,1,53,0,81000.0,0.379,532494.0,30699.0,0.1521
176,Married,Secondary / secondary special,Laborers,Cash loans,1,50,0,63000.0,0.4163,808650.0,26217.0,0.0779
177,Married,Secondary / secondary special,Drivers,Cash loans,0,32,1,157500.0,0.1606,318528.0,25294.5,0.4944
178,Civil marriage,Secondary / secondary special,Waiters/barmen staff,Cash loans,1,45,0,157500.0,0.1444,700830.0,22738.5,0.2247
179,Civil marriage,Secondary / secondary special,Laborers,Cash loans,0,34,1,180000.0,0.1613,888840.0,29016.0,0.2025
180,Married,Higher education,High skill tech staff,Revolving loans,0,41,0,180000.0,0.15,540000.0,27000.0,0.3333
181,Separated,Higher education,Core staff,Cash loans,1,45,0,202500.0,0.1266,771493.5,25627.5,0.2625
182,Married,Secondary / secondary special,Cooking staff,Cash loans,0,38,1,225000.0,0.2217,746280.0,49873.5,0.3015
183,Married,Secondary / secondary special,Laborers,Cash loans,1,38,1,49500.0,0.4026,278460.0,19930.5,0.1777
184,Civil marriage,Higher education,n.a.,Cash loans,1,27,0,202500.0,0.1409,436032.0,28516.5,0.4644
185,Civil marriage,Secondary / secondary special,n.a.,Cash loans,1,59,1,90000.0,0.0908,227520.0,8172.0,0.3955
186,Married,Secondary / secondary special,Sales staff,Cash loans,1,54,1,90000.0,0.0745,67500.0,6705.0,1.333
187,Separated,Secondary / secondary special,Laborers,Cash loans,1,37,1,180000.0,0.1406,254700.0,25321.5,0.7065
188,Single / not married,Higher education,Drivers,Cash loans,0,36,0,337500.0,0.1454,876078.0,49050.0,0.3853
189,Married,Higher education,Core staff,Cash loans,0,30,0,315000.0,0.2651,2250000.0,83515.5,0.14
190,Single / not married,Higher education,Sales staff,Cash loans,1,40,0,225000.0,0.1359,1040985.0,30568.5,0.2162
191,Widow,Secondary / secondary special,n.a.,Cash loans,1,64,0,225000.0,0.3445,684054.0,77494.5,0.3289
192,Married,Secondary / secondary special,n.a.,Cash loans,1,38,0,225000.0,0.1638,1256400.0,36864.0,0.1791
193,Married,Secondary / secondary special,Sales staff,Cash loans,0,38,1,157500.0,0.1813,720000.0,28552.5,0.2188
194,Married,Secondary / secondary special,Sales staff,Revolving loans,1,37,1,112500.0,0.12,270000.0,13500.0,0.4167
195,Single / not married,Higher education,Managers,Cash loans,0,27,1,292500.0,0.1906,1024740.0,55719.0,0.2854
196,Married,Secondary / secondary special,Laborers,Cash loans,1,38,1,121500.0,0.2664,1102500.0,32364.0,0.1102
197,Married,Secondary / secondary special,Medicine staff,Cash loans,1,49,0,157500.0,0.10187,544491.0,16047.0,0.2893
198,Married,Secondary / secondary special,Sales staff,Revolving loans,1,52,1,135000.0,0.15,405000.0,20250.0,0.3333
199,Married,Secondary / secondary special,Drivers,Cash loans,0,48,0,108000.0,0.2803,912240.0,30276.0,0.1184
200,Married,Secondary / secondary special,n.a.,Cash loans,1,50,0,216000.0,0.1339,679671.0,28926.0,0.3179
201,Widow,Secondary / secondary special,Core staff,Revolving loans,1,45,1,67500.0,0.1333,180000.0,9000.0,0.375
202,Married,Secondary / secondary special,Cooking staff,Cash loans,1,43,0,135000.0,0.1476,364896.0,19926.0,0.3699
203,Married,Secondary / secondary special,Laborers,Cash loans,0,63,0,112500.0,0.1809,312768.0,20353.5,0.3596
204,Civil marriage,Secondary / secondary special,Core staff,Cash loans,1,37,1,144000.0,0.2625,1288350.0,37800.0,0.11176
205,Married,Secondary / secondary special,Laborers,Cash loans,0,35,0,135000.0,0.3716,781920.0,50148.0,0.1726
206,Married,Secondary / secondary special,Accountants,Cash loans,1,55,0,225000.0,0.2297,1483231.5,51687.0,0.1517
207,Married,Secondary / secondary special,Laborers,Cash loans,0,32,0,135000.0,0.2113,590337.0,28530.0,0.2286
208,Married,Secondary / secondary special,Drivers,Cash loans,0,57,0,90000.0,0.1203,101880.0,10827.0,0.8833
209,Married,Higher education,Laborers,Cash loans,0,26,0,112500.0,0.123,161730.0,13833.0,0.696
210,Married,Secondary / secondary special,Laborers,Cash loans,0,46,1,247500.0,0.1434,447768.0,35505.0,0.5527
211,Married,Secondary / secondary special,Laborers,Cash loans,1,35,0,135000.0,0.2,495216.0,26995.5,0.2727
212,Married,Secondary / secondary special,Laborers,Cash loans,1,54,0,225000.0,0.0861,402939.0,19381.5,0.5586
213,Civil marriage,Secondary / secondary special,n.a.,Cash loans,1,61,0,90000.0,0.2627,808650.0,23643.0,0.11127
214,Married,Secondary / secondary special,Laborers,Cash loans,1,41,0,67500.0,0.0669,76410.0,4513.5,0.8833
215,Married,Secondary / secondary special,Laborers,Cash loans,1,30,1,72000.0,0.0907,90000.0,6529.5,0.8
216,Married,Secondary / secondary special,Drivers,Cash loans,0,53,0,202500.0,0.0698,270000.0,14134.5,0.75
217,Married,Secondary / secondary special,Sales staff,Cash loans,1,48,0,225000.0,0.224,490495.5,50391.0,0.4587
218,Married,Higher education,Drivers,Cash loans,0,59,0,292500.0,0.1193,1078200.0,34911.0,0.2712
219,Single / not married,Secondary / secondary special,Laborers,Cash loans,0,42,0,315000.0,0.1677,824544.0,52825.5,0.382
220,Single / not married,Secondary / secondary special,n.a.,Cash loans,1,63,0,90000.0,0.1791,312768.0,16119.0,0.2878
221,Civil marriage,Secondary / secondary special,Cooking staff,Cash loans,1,44,0,135000.0,0.0677,81000.0,9135.0,1.667
222,Married,Secondary / secondary special,n.a.,Cash loans,0,56,0,180000.0,0.12195,427500.0,21955.5,0.4211
223,Single / not married,Higher education,Core staff,Cash loans,0,27,0,180000.0,0.11383,180000.0,20488.5,1.0
224,Married,Secondary / secondary special,Laborers,Cash loans,1,41,0,90000.0,0.2472,522000.0,22243.5,0.1724
225,Married,Secondary / secondary special,Drivers,Cash loans,0,37,0,315000.0,0.132,1575000.0,41548.5,0.2
226,Widow,Higher education,n.a.,Cash loans,1,64,0,108000.0,0.3025,585000.0,32665.5,0.1846
227,Married,Higher education,n.a.,Cash loans,1,63,0,121500.0,0.3965,1215000.0,48186.0,0.1
228,Single / not married,Secondary / secondary special,Sales staff,Cash loans,1,22,0,112500.0,0.3108,723996.0,34960.5,0.1554
229,Widow,Secondary / secondary special,n.a.,Cash loans,1,51,1,157500.0,0.234,1256400.0,36864.0,0.1254
230,Married,Higher education,Managers,Cash loans,0,37,0,225000.0,0.0797,675000.0,17937.0,0.3333
231,Married,Secondary / secondary special,Laborers,Cash loans,1,28,1,85500.0,0.211,225000.0,18040.5,0.38
232,Married,Secondary / secondary special,Laborers,Cash loans,0,30,0,180000.0,0.1295,427450.5,23319.0,0.4211
233,Married,Higher education,n.a.,Revolving loans,1,58,0,90000.0,0.1875,337500.0,16875.0,0.2666
234,Married,Secondary / secondary special,Sales staff,Revolving loans,1,25,0,135000.0,0.06665,180000.0,9000.0,0.75
235,Married,Secondary / secondary special,Medicine staff,Cash loans,1,63,0,157500.0,0.4207,1710000.0,66262.5,0.0921
236,Civil marriage,Secondary / secondary special,Drivers,Cash loans,0,42,0,308250.0,0.1242,1305000.0,38281.5,0.2362
237,Widow,Secondary / secondary special,n.a.,Cash loans,1,64,0,108000.0,0.1729,646920.0,18670.5,0.167
238,Married,Secondary / secondary special,Private service staff,Cash loans,1,33,0,135000.0,0.2922,497520.0,39438.0,0.2712
239,Married,Secondary / secondary special,n.a.,Cash loans,0,59,1,67500.0,0.24,364896.0,16200.0,0.1849
